time,open,high,low,close,volume
2019-08-05 12:30:00+09:00,26180.36,26192.82,26172.88,26183.85,204
2019-08-05 12:35:00+09:00,26182.86,26188.84,26175.38,26179.87,177
2019-08-05 12:40:00+09:00,26179.87,26189.84,26179.37,26184.36,138
2019-08-05 12:45:00+09:00,26184.36,26195.33,26177.39,26194.84,157
2019-08-05 12:50:00+09:00,26194.34,26209.79,26194.34,26209.79,179
2019-08-05 12:55:00+09:00,26208.8,26212.29,26206.81,26209.3,113
2019-08-05 13:00:00+09:00,26212.29,26219.77,26211.29,26214.79,123
2019-08-05 13:05:00+09:00,26214.79,26214.79,26196.85,26198.85,141
2019-08-05 13:10:00+09:00,26199.35,26210.31,26194.36,26198.86,135
2019-08-05 13:15:00+09:00,26199.35,26205.34,26191.88,26201.85,104
2019-08-05 13:20:00+09:00,26201.35,26206.34,26189.9,26191.89,103
2019-08-05 13:25:00+09:00,26192.89,26202.86,26188.41,26193.39,131
2019-08-05 13:30:00+09:00,26193.89,26199.94,26191.9,26197.94,88
2019-08-05 13:35:00+09:00,26198.44,26202.44,26197.45,26200.94,82
2019-08-05 13:40:00+09:00,26201.44,26201.94,26194.47,26197.96,73
2019-08-05 13:45:00+09:00,26197.96,26200.45,26193.48,26193.98,76
2019-08-05 13:50:00+09:00,26192.98,26199.46,26184.51,26186.01,94
2019-08-05 13:55:00+09:00,26186.01,26205.95,26186.01,26204.95,112
2019-08-05 14:00:00+09:00,26205.45,26211.87,26202.46,26207.89,173
2019-08-05 14:05:00+09:00,26206.89,26215.37,26200.91,26202.91,170
2019-08-05 14:10:00+09:00,26203.41,26213.38,26193.95,26209.33,162
2019-08-05 14:15:00+09:00,26208.83,26216.31,26204.85,26206.35,177
2019-08-05 14:20:00+09:00,26205.85,26229.28,26205.85,26228.28,169
2019-08-05 14:25:00+09:00,26227.28,26235.26,26220.81,26223.8,162
2019-08-05 14:30:00+09:00,26224.8,26234.7,26223.75,26229.73,168
2019-08-05 14:35:00+09:00,26228.74,26232.22,26222.26,26229.24,143
2019-08-05 14:40:00+09:00,26229.24,26239.21,26227.74,26232.74,123
2019-08-05 14:45:00+09:00,26232.74,26234.28,26228.75,26231.29,128
2019-08-05 14:50:00+09:00,26230.29,26238.28,26230.29,26238.28,125
