Time,Open,High,Low,Close
2012/6/5 6:0:0,12093.0,12173.0,12043.0,12155.0
2012/6/6 6:0:0,12156.0,12442.0,12147.0,12438.0
2012/6/7 6:0:0,12438.0,12556.0,12415.0,12485.0
2012/6/8 6:0:0,12485.0,12588.0,12391.0,12587.0
2012/6/10 6:0:0,12701.0,12757.0,12697.0,12733.0
2012/6/11 6:0:0,12701.0,12757.0,12367.0,12394.0
2012/6/12 6:0:0,12393.0,12596.0,12385.0,12567.0
2012/6/13 6:0:0,12567.0,12598.0,12454.0,12505.0
2012/6/14 6:0:0,12506.0,12701.0,12477.0,12670.0
2012/6/15 6:0:0,12670.0,12785.0,12662.0,12785.0
2012/6/17 6:0:0,12840.0,12869.0,12812.0,12821.0
2012/6/18 6:0:0,12848.0,12869.0,12693.0,12765.0
2012/6/19 6:0:0,12765.0,12899.0,12726.0,12822.0
2012/6/20 6:0:0,12821.0,12878.0,12744.0,12822.0
2012/6/21 6:0:0,12822.0,12861.0,12562.0,12589.0
2012/6/22 6:0:0,12589.0,12677.0,12572.0,12630.0
2012/6/24 6:0:0,12633.0,12633.0,12602.0,12607.0
2012/6/25 6:0:0,12631.0,12631.0,12457.0,12513.0
2012/6/26 6:0:0,12512.0,12577.0,12451.0,12536.0
2012/6/27 6:0:0,12535.0,12646.0,12524.0,12611.0
2012/6/28 6:0:0,12610.0,12637.0,12445.0,12556.0
2012/6/29 6:0:0,12557.0,12903.0,12546.0,12882.0
2012/7/1 6:0:0,12895.0,12898.0,12885.0,12891.0
2012/7/2 6:0:0,12895.0,12918.0,12793.0,12837.0
2012/7/3 6:0:0,12836.0,12945.0,12816.0,12929.0
2012/7/4 6:0:0,12929.0,12940.0,12902.0,12910.0
2012/7/5 6:0:0,12911.0,12982.0,12851.0,12899.0
2012/7/6 6:0:0,12900.0,12909.0,12701.0,12786.0
2012/7/8 6:0:0,12762.0,12767.0,12753.0,12757.0
2012/7/9 6:0:0,12763.0,12778.0,12682.0,12742.0
2012/7/10 6:0:0,12742.0,12827.0,12605.0,12637.0
2012/7/11 6:0:0,12637.0,12709.0,12532.0,12613.0
2012/7/12 6:0:0,12612.0,12628.0,12489.0,12568.0
2012/7/13 6:0:0,12568.0,12786.0,12563.0,12779.0
2012/7/15 6:0:0,12776.0,12777.0,12757.0,12757.0
2012/7/16 6:0:0,12775.0,12777.0,12689.0,12710.0
2012/7/17 6:0:0,12710.0,12832.0,12644.0,12785.0
2012/7/18 6:0:0,12785.0,12948.0,12742.0,12935.0
2012/7/19 6:0:0,12935.0,12990.0,12891.0,12925.0
2012/7/20 6:0:0,12926.0,12928.0,12809.0,12827.0
2012/7/22 6:0:0,12805.0,12809.0,12784.0,12790.0
2012/7/23 6:0:0,12805.0,12809.0,12579.0,12682.0
2012/7/24 6:0:0,12683.0,12726.0,12519.0,12540.0
2012/7/25 6:0:0,12541.0,12730.0,12530.0,12690.0
2012/7/26 6:0:0,12691.0,12932.0,12640.0,12881.0
2012/7/27 6:0:0,12880.0,13117.0,12866.0,13087.0
2012/7/29 6:0:0,13062.0,13080.0,13062.0,13066.0
2012/7/30 6:0:0,13067.0,13129.0,13037.0,13066.0
2012/7/31 6:0:0,13065.0,13110.0,12988.0,12995.0
2012/8/1 6:0:0,12996.0,13078.0,12952.0,12990.0
2012/8/2 6:0:0,12989.0,13081.0,12778.0,12881.0
2012/8/3 6:0:0,12882.0,13136.0,12866.0,13114.0
2012/8/5 6:0:0,13120.0,13129.0,13099.0,13099.0
2012/8/6 6:0:0,13100.0,13188.0,13088.0,13116.0
2012/8/7 6:0:0,13115.0,13217.0,13103.0,13164.0
2012/8/8 6:0:0,13163.0,13203.0,13092.0,13158.0
2012/8/9 6:0:0,13157.0,13227.0,13125.0,13175.0
2012/8/10 6:0:0,13178.0,13214.0,13094.0,13214.0
